"id","listing_url","scrape_id","last_scraped","source","name","picture_url","host_id","host_url","host_name","host_since","host_response_time","host_is_superhost","host_thumbnail_url","host_picture_url","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms_text","beds","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_30","availability_60","availability_90","availability_365","calendar_last_scraped","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","calculated_host_listings_count_shared_rooms","reviews_per_month","host_response_rate_in_percent","host_acceptance_rate_in_percent","price_per_person"
626512,"https://www.airbnb.com/rooms/626512",20231227030725,19718,"city scrape","Rental unit in Geneva · ★4.97 · 1 bedroom · 2 beds · 1 bath","https://a0.muscache.com/pictures/10170754/3bfad7de_original.jpg",3110118,"https://www.airbnb.com/users/show/3110118","Enrica",15552,"within a day",TRUE,"https://a0.muscache.com/im/pictures/user/7da2d214-19cf-4bd0-ae92-173c80760c53.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/7da2d214-19cf-4bd0-ae92-173c80760c53.jpg?aki_policy=profile_x_medium",1,6,TRUE,TRUE,"Commune de Genève",46.2114,6.15107,"Entire rental unit","Entire home/apt",1,"1 bath",2,4,1120,4,10,1120,1120,9.9,1120,TRUE,9,9,9,9,19718,39,3,0,15600,19618,4.97,4.97,5,5,4.97,4.85,4.77,FALSE,1,1,0,0,0.28,100,83,160
626831,"https://www.airbnb.com/rooms/626831",20231227030725,19718,"city scrape","Rental unit in Geneva · ★4.33 · 1 bedroom · 1 bed · 1 bath","https://a0.muscache.com/pictures/7988266/cf01428d_original.jpg",3111534,"https://www.airbnb.com/users/show/3111534","The Hamlet",15552,"within an hour",FALSE,"https://a0.muscache.com/im/pictures/user/78073596-87f9-4f2d-a1c2-c29268097ec9.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/78073596-87f9-4f2d-a1c2-c29268097ec9.jpg?aki_policy=profile_x_medium",19,24,TRUE,TRUE,"Commune de Genève",46.19875,6.14861,"Entire rental unit","Entire home/apt",2,"1 bath",1,1,1125,1,4,99,99,1.1,99,TRUE,0,0,0,0,19718,3,0,0,16939,17322,4.33,4.67,4.67,5,5,4.67,4.33,TRUE,17,17,0,0,0.03,100,100,200
628495,"https://www.airbnb.com/rooms/628495",20231227030725,19718,"city scrape","Rental unit in Genève · ★4.85 · 1 bedroom · 1 bed · 1 bath","https://a0.muscache.com/pictures/f615ebbc-795f-47af-88b1-67c4de02b50c.jpg",3122142,"https://www.airbnb.com/users/show/3122142","Laura",15553,"within an hour",TRUE,"https://a0.muscache.com/im/pictures/user/1234d6f2-cea9-474f-80d3-8b2f709f7302.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/1234d6f2-cea9-474f-80d3-8b2f709f7302.jpg?aki_policy=profile_x_medium",2,7,TRUE,TRUE,"Commune de Genève",46.2028,6.1441,"Entire rental unit","Entire home/apt",2,"1 bath",1,90,1125,90,90,1125,1125,90,1125,TRUE,0,0,0,239,19718,73,1,0,15582,19455,4.85,4.85,4.86,4.92,4.92,4.96,4.79,FALSE,1,1,0,0,0.53,100,78,50
649023,"https://www.airbnb.com/rooms/649023",20231227030725,19718,"city scrape","Rental unit in Geneva · ★4.92 · 1 bedroom · 1 bed · 1 bath","https://a0.muscache.com/pictures/fd80075d-ff34-4c6d-872f-08e3a0202574.jpg",2375758,"https://www.airbnb.com/users/show/2375758","Eliora Elena",15475,"within an hour",TRUE,"https://a0.muscache.com/im/users/2375758/profile_pic/1337712692/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/2375758/profile_pic/1337712692/original.jpg?aki_policy=profile_x_medium",1,2,TRUE,TRUE,"Commune de Genève",46.20175,6.14852,"Entire rental unit","Entire home/apt",2,"1 bath",1,2,21,2,2,1125,1125,2,1125,TRUE,20,41,66,156,19718,123,29,1,15613,19698,4.92,4.97,4.92,4.98,4.98,4.99,4.85,FALSE,1,1,0,0,0.9,100,96,53.5
706264,"https://www.airbnb.com/rooms/706264",20231227030725,19718,"city scrape","Rental unit in Geneva · ★4.77 · 1 bedroom · 2 beds · 1 bath","https://a0.muscache.com/pictures/1341d00f-3566-462c-be49-158aa1ee4014.jpg",3629403,"https://www.airbnb.com/users/show/3629403","Louis",15603,"within an hour",TRUE,"https://a0.muscache.com/im/pictures/user/109ad57a-f28e-4b0a-a199-f03123b798dd.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/109ad57a-f28e-4b0a-a199-f03123b798dd.jpg?aki_policy=profile_x_medium",1,1,TRUE,TRUE,"Commune de Genève",46.211998,6.150082,"Entire rental unit","Entire home/apt",4,"1 bath",2,4,60,4,4,1125,1125,4,1125,TRUE,7,21,48,265,19718,137,28,1,15789,19699,4.77,4.81,4.81,4.86,4.85,4.85,4.66,FALSE,1,1,0,0,1.05,100,100,34.25
721025,"https://www.airbnb.com/rooms/721025",20231227030725,19718,"city scrape","Rental unit in Geneva · ★4.83 · 1 bedroom · 3 beds · 1 bath","https://a0.muscache.com/pictures/98296242-c72a-44e7-875f-143945336c1e.jpg",3722546,"https://www.airbnb.com/users/show/3722546","Mimi",15614,"within a day",FALSE,"https://a0.muscache.com/im/users/3722546/profile_pic/1365886386/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/3722546/profile_pic/1365886386/original.jpg?aki_policy=profile_x_medium",2,3,TRUE,TRUE,"Commune de Genève",46.19896,6.15499,"Entire rental unit","Entire home/apt",2,"1 bath",3,2,28,2,2,28,28,2,28,TRUE,0,0,0,269,19718,31,5,0,15630,19522,4.83,4.9,4.9,4.9,4.87,4.84,4.58,FALSE,1,1,0,0,0.23,80,41,82.5
728403,"https://www.airbnb.com/rooms/728403",20231227030725,19718,"previous scrape","Rental unit in Geneva · ★4.74 · 1 bedroom · 2 beds · 1.5 baths","https://a0.muscache.com/pictures/miso/Hosting-728403/original/aab8299c-4b52-4894-aaa0-28d2c70bed29.jpeg",3778243,"https://www.airbnb.com/users/show/3778243","Lucia",15619,"within an hour",FALSE,"https://a0.muscache.com/im/pictures/user/31bed6f1-f509-49a2-872b-eb4eb328d977.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/31bed6f1-f509-49a2-872b-eb4eb328d977.jpg?aki_policy=profile_x_medium",4,12,TRUE,TRUE,"Commune de Genève",46.21404,6.12431,"Entire rental unit","Entire home/apt",4,"1.5 baths",2,1,1125,1,1,1125,1125,1,1125,TRUE,0,0,0,0,19718,54,0,0,15647,19232,4.74,4.81,4.96,4.8,4.94,4.63,4.61,TRUE,4,1,3,0,0.4,100,100,89.5
741176,"https://www.airbnb.com/rooms/741176",20231227030725,19718,"city scrape","Rental unit in Geneva · ★4.33 · 2 bedrooms · 3 beds · 1.5 baths","https://a0.muscache.com/pictures/b19f6e62-6a7c-4602-8a25-2fb32d4c0855.jpg",3566383,"https://www.airbnb.com/users/show/3566383","First",15597,"within a day",FALSE,"https://a0.muscache.com/im/users/3566383/profile_pic/1370289613/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/3566383/profile_pic/1370289613/original.jpg?aki_policy=profile_x_medium",5,7,TRUE,TRUE,"Commune de Genève",46.19788,6.13691,"Entire rental unit","Entire home/apt",4,"1.5 baths",3,4,365,4,4,365,365,4,365,TRUE,30,60,90,365,19718,24,0,0,15843,18503,4.33,4.71,4.83,4.63,4.38,4.71,4.33,FALSE,5,5,0,0,0.19,67,6,88.75
751882,"https://www.airbnb.com/rooms/751882",20231227030725,19718,"city scrape","Rental unit in Geneva · ★4.29 · 2 bedrooms · 2 beds · 1.5 baths","https://a0.muscache.com/pictures/3b4fa372-9786-47d0-ad6a-f242d4a20396.jpg",777025,"https://www.airbnb.com/users/show/777025","Maysoon",15159,"within an hour",FALSE,"https://a0.muscache.com/im/pictures/user/0822a4d1-0dc9-4675-b8e7-f610bdffd9bc.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/0822a4d1-0dc9-4675-b8e7-f610bdffd9bc.jpg?aki_policy=profile_x_medium",2,5,TRUE,TRUE,"Commune de Genève",46.20234,6.1621,"Entire rental unit","Entire home/apt",4,"1.5 baths",2,3,1125,3,3,1125,1125,3,1125,TRUE,29,59,89,364,19718,73,1,0,16577,19359,4.29,4.3,3.95,4.69,4.67,4.85,4.28,FALSE,2,1,1,0,0.7,100,80,46.25
766186,"https://www.airbnb.com/rooms/766186",20231227030725,19718,"city scrape","Loft in Geneva · ★4.90 · 1 bedroom · 2 beds · 1 bath","https://a0.muscache.com/pictures/75493700-88c4-40e6-8f80-8f0a0e820438.jpg",3987132,"https://www.airbnb.com/users/show/3987132","Dave",15640,"within an hour",TRUE,"https://a0.muscache.com/im/pictures/user/User-3987132/original/6144cc53-4072-4d6a-b8fc-f60a824e3d86.jpeg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/User-3987132/original/6144cc53-4072-4d6a-b8fc-f60a824e3d86.jpeg?aki_policy=profile_x_medium",1,1,TRUE,TRUE,"Commune de Genève",46.20146,6.13148,"Entire loft","Entire home/apt",4,"1 bath",2,2,1125,2,2,1125,1125,2,1125,TRUE,0,0,0,0,19718,206,28,2,15749,19701,4.9,4.94,4.89,4.94,4.95,4.77,4.75,FALSE,1,1,0,0,1.56,100,98,38.75
