id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
16853638,"Quiet and independent room, 15km from Lausanne.",112251680,Thomas,Lavaux-Oron,Essertes,46.56299,6.79139,Entire home/apt,54,1,418,2024-02-28,4.87,1,124,63,
16869495,Les 3 Sapins - Appartement,112419245,Valérie Et Philippe,Aigle,Ormont-Dessous,46.38839,7.09402,Entire home/apt,82,3,37,2023-08-25,0.47,1,128,2,
16886974,My favorite room,112631691,Christian,Ouest lausannois,Bussigny,46.55144,6.55844,Private room,,1,153,2024-03-04,1.83,1,0,34,
16888096,"Prachtig Appartement, Villars-sur-Ollon",112643111,Joost,Aigle,Ollon,46.31233,7.06189,Entire home/apt,300,6,2,2021-02-20,0.04,2,358,0,
16903412,Jolie et cosy chambre proche EPFL / UNIL,1971046,Laura,Ouest lausannois,Chavannes-près-Renens,46.5266,6.57547,Private room,49,1,130,2024-02-14,1.50,2,88,44,
16904734,"2 bedrooms, view of the mountains, near Lausanne",12077636,Angelika,Gros-de-Vaud,Froideville,46.59874,6.67973,Entire home/apt,,1,3,2017-04-01,0.03,2,0,0,
16937122,"Dormir chez le vigneron, au coeur de Lavaux.",113189503,Aurélia,Lavaux-Oron,Bourg-en-Lavaux,46.49473,6.7168,Entire home/apt,148,2,93,2023-11-19,1.10,1,244,25,
16966904,Cozy nest close to Geneva lake,33766143,Yang,Ouest lausannois,Prilly,46.53439,6.61005,Entire home/apt,70,6,7,2024-01-07,0.17,1,7,4,
17080331,Beautiful apartment in Rougemont close to Gstaad,29391008,Pascale,Riviera-Pays-d'Enhaut,Rougemont,46.49094,7.20524,Entire home/apt,700,7,16,2023-02-26,0.22,2,347,0,
17101754,Maple's Home,105790979,Maple,Lausanne,Lausanne,46.52456,6.65207,Private room,,2,0,,,1,0,0,
17114075,Appartement calme à Clarens,112931016,Alessandra,Riviera-Pays-d'Enhaut,Montreux,46.44251,6.89532,Entire home/apt,,14,0,,,1,0,0,
17116549,Appartement à louer : septembre 2024 à sept. 2025,28492215,Zoé,Jura-Nord vaudois,Yverdon-les-Bains,46.77645,6.64153,Entire home/apt,70,180,1,2017-05-31,0.01,1,189,0,
17137652,Chambre dans un appartement spacieux.,115203211,Leo,Lausanne,Lausanne,46.5262,6.61682,Private room,,1,3,2019-12-21,0.05,1,0,0,
17145049,Belle chambre dans apart 3 pièces 1/2,115279202,Yassine,Jura-Nord vaudois,Yverdon-les-Bains,46.77593,6.64434,Private room,,1,9,2022-11-06,0.11,1,0,0,
